Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-12-13 14:00:00
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670958025	167083978	12315	0	2022-12-13	14:00:25	4960.78	595.35	2079.35	40.8926	55.0006	27.6706	43.6485	0.00147329	12.2592	54.5005	-281	0.157707	14.6271	157
DATA	1670958026	167083978	12319	0	2022-12-13	14:00:26	4950.96	595.852	2079.48	40.8971	55.0006	27.6694	43.6485	0.00145378	12.2585	54.5005	93.75	0.157707	14.6271	 37
DATA	1670958027	167083978	12323	0	2022-12-13	14:00:27	4943.45	595.741	2079.21	40.8979	55.0006	27.6689	43.6485	0.00145522	12.2587	54.5005	177.25	0.157707	14.6271	 69
DATA	1670958028	167083978	12327	0	2022-12-13	14:00:28	4932.44	594.834	2079.24	40.8983	55.0006	27.6694	43.6485	0.00144632	12.2588	54.5005	271.75	0.157707	14.6267	 75
DATA	1670958029	167083978	12331	0	2022-12-13	14:00:29	4926.21	594.231	2079.35	40.8987	55.0006	27.671	43.6487	0.00144346	12.2591	54.5007	91.5	0.157707	14.6267	161
DATA	1670958030	166728019	12335	0	2022-12-13	14:00:30	4920.86	595.148	2079.24	40.8983	55.0006	27.6718	43.6488	0.00144858	12.2584	54.5009	241.75	0.157707	14.6267	 60
DATA	1670958031	166728019	12339	0	2022-12-13	14:00:31	4915.71	594.212	2078.92	40.8991	55.0006	27.6722	43.6488	0.00143964	12.2582	54.5005	139	0.157707	14.6267	152
DATA	1670958032	166728019	12343	0	2022-12-13	14:00:32	4904.74	586.74	2062.61	40.9044	55.0006	27.6759	43.6487	0.00141163	12.2582	54.5009	1812.5	0.157707	14.6256	234
DATA	1670958033	166728019	12347	0	2022-12-13	14:00:33	4863.42	561.582	1990.33	40.8913	55.0006	27.7201	43.6487	0.00160275	12.2585	54.5009	4115.5	0.157707	14.6252	 26
DATA	1670958034	166728019	12351	0	2022-12-13	14:00:34	4838.58	552.973	1965.9	40.8709	55.0006	27.7975	43.6485	0.00160964	12.2584	54.5009	2226.25	0.157707	14.6256	 71
DATA	1670958035	166728019	12355	0	2022-12-13	14:00:35	4823.05	549.439	1956.27	40.8553	55.0006	27.8438	43.6485	0.00156961	12.2575	54.5009	622	0.157707	14.6256	165
DATA	1670958036	166728019	12359	0	2022-12-13	14:00:36	4810.93	551.528	1961.45	40.8385	55.0006	27.8463	43.6485	0.00142132	12.2581	54.5009	-1198	0.157707	14.6256	247
DATA	1670958037	166728019	12363	0	2022-12-13	14:00:37	4816.48	562.521	1995.87	40.8291	55.0006	27.7996	43.6485	0.00132261	12.2578	54.5009	-2990.5	0.157147	14.6259	117
DATA	1670958038	166373014	12367	0	2022-12-13	14:00:38	4821.62	572.564	2027.94	40.8324	55.0008	27.7119	43.646	0.00142729	12.2583	54.5013	-2297.5	0.154345	14.6259	 28
DATA	1670958039	166373014	12371	0	2022-12-13	14:00:39	4821.5	579.427	2047.85	40.8365	55.0008	27.6415	43.6434	0.00153767	12.2585	54.5013	-1171.75	0.152477	14.6311	 77
DATA	1670958040	166373014	12375	0	2022-12-13	14:00:40	4820.67	582.971	2059.65	40.8401	55.0008	27.6059	43.6432	0.00160933	12.2589	54.5013	-558.5	0.152477	14.6338	 23
DATA	1670958041	166373014	12379	0	2022-12-13	14:00:41	4819.28	586.132	2066.69	40.8471	55.001	27.5944	43.6432	0.00163159	12.2586	54.5013	-172.75	0.152477	14.6338	 30
DATA	1670958042	166373014	12383	0	2022-12-13	14:00:42	4816.47	587.406	2070.83	40.8533	55.0008	27.5899	43.6432	0.00163027	12.2584	54.5007	-17.5	0.152477	14.6314	224
DATA	1670958043	166373014	12387	0	2022-12-13	14:00:43	4816.25	588.204	2073.16	40.8582	55.0008	27.5899	43.6432	0.00160848	12.2569	54.5005	301.75	0.152477	14.6256	 38
DATA	1670958044	166373014	12391	0	2022-12-13	14:00:44	4813.89	588.046	2074.42	40.8631	55.0003	27.5952	43.6432	0.00158526	12.2594	54.5005	397.5	0.152477	14.6256	240
DATA	1670958045	166017055	12395	0	2022-12-13	14:00:45	4813.09	589.854	2075.51	40.8664	55.0003	27.6006	43.6434	0.00157463	12.2587	54.5005	371.5	0.152477	14.6252	235
DATA	1670958046	166017055	12399	0	2022-12-13	14:00:46	4811.74	590.224	2076.12	40.8704	55.0003	27.6047	43.6436	0.00155883	12.2591	54.5005	345.5	0.152477	14.6256	228
DATA	1670958047	166017055	12403	0	2022-12-13	14:00:47	4809.22	590.804	2076.62	40.8729	55.0003	27.6108	43.6436	0.00154771	12.2588	54.5	437.25	0.152477	14.6256	134
DATA	1670958048	166017055	12407	0	2022-12-13	14:00:48	4807.53	591.706	2077.18	40.8766	55.0003	27.6174	43.6434	0.00153386	12.2589	54.5	426.75	0.152477	14.6252	149
DATA	1670958049	166017055	12411	0	2022-12-13	14:00:49	4804.41	592.574	2077.3	40.8795	55.0003	27.6219	43.6432	0.00151893	12.2589	54.4998	410.5	0.152477	14.6252	198
DATA	1670958050	166017055	12415	0	2022-12-13	14:00:50	4805.27	592.278	2077.83	40.8823	55.0003	27.6284	43.6432	0.00150106	12.2587	54.4998	432.5	0.152477	14.6248	235
DATA	1670958051	166017055	12419	0	2022-12-13	14:00:51	4802.43	592.789	2077.55	40.8864	55.0003	27.6341	43.6432	0.00149464	12.2584	54.4998	390.75	0.152477	14.6244	 51
DATA	1670958052	166017055	12423	0	2022-12-13	14:00:52	4801.44	593.479	2078.26	40.8893	55.0003	27.6386	43.6432	0.00147601	12.258	54.4998	537.75	0.152477	14.6244	253
DATA	1670958053	165659904	12427	0	2022-12-13	14:00:53	4800.26	593.458	2078.26	40.8917	55.0003	27.6448	43.6432	0.00145741	12.2582	54.4998	502.75	0.152477	14.6248	 58
DATA	1670958054	165659904	12431	0	2022-12-13	14:00:54	4800.34	593.547	2078.26	40.895	55.0003	27.6526	43.6432	0.00144728	12.2588	54.4998	584.5	0.152477	14.6248	220
DATA	1670958055	165659904	12435	0	2022-12-13	14:00:55	4796.72	594.492	2078.4	40.895	55.0003	27.6579	43.6436	0.00143571	12.2605	54.4998	276.5	0.152477	14.6244	181
DATA	1670958056	165659904	12439	0	2022-12-13	14:00:56	4796.35	594.477	2078.44	40.8942	55.0003	27.6616	43.6436	0.00145001	12.2581	54.4998	314.75	0.152477	14.6244	 67
DATA	1670958057	165659904	12443	0	2022-12-13	14:00:57	4795.11	595.275	2078.54	40.895	55.0003	27.6632	43.6434	0.00144174	12.2591	54.4998	137.25	0.152477	14.6244	 11
DATA	1670958058	165659904	12447	0	2022-12-13	14:00:58	4795.47	594.338	2078.11	40.8954	55.0003	27.6636	43.6432	0.00144292	12.2587	54.4998	211.5	0.152477	14.624	225
DATA	1670958059	165659904	12451	0	2022-12-13	14:00:59	4795.05	595.197	2078.68	40.895	55.0003	27.6649	43.6432	0.0014452	12.2578	54.4998	194.5	0.152477	14.624	140
DATA	1670958060	165313005	12455	0	2022-12-13	14:01:00	4794.09	595.396	2078.76	40.895	55.0003	27.6628	43.6432	0.00145144	12.2601	54.4998	165.75	0.152477	14.6236	246
DATA	1670958061	165313005	12459	0	2022-12-13	14:01:01	4793.68	595.48	2078.46	40.895	55.0003	27.6632	43.6432	0.00145711	12.2592	54.4998	119.25	0.152477	14.6232	193
DATA	1670958062	165313005	12463	0	2022-12-13	14:01:02	4793.41	595.868	2078.68	40.8946	55.0003	27.6653	43.6432	0.00145385	12.2588	54.4998	200.25	0.152477	14.6232	 46
DATA	1670958063	165313005	12467	0	2022-12-13	14:01:03	4793.68	595.484	2078.83	40.8954	55.0003	27.6657	43.6434	0.00145532	12.2592	54.4998	90.75	0.152477	14.6232	 10
DATA	1670958064	165313005	12471	0	2022-12-13	14:01:04	4792.82	595.625	2078.65	40.895	55.0003	27.6649	43.6434	0.00144285	12.2588	54.4998	76.25	0.152477	14.6236	216
DATA	1670958065	165313005	12475	0	2022-12-13	14:01:05	4793.52	596.487	2078.91	40.895	55.0003	27.6649	43.6432	0.0014477	12.2594	54.4998	93.5	0.152477	14.6228	122
DATA	1670958066	165313005	12479	0	2022-12-13	14:01:06	4792.48	595.346	2078.81	40.895	55.0003	27.6649	43.6432	0.00145569	12.2587	54.4998	83.75	0.152477	14.6224	231
DATA	1670958067	165313005	12483	0	2022-12-13	14:01:07	4792.85	596.501	2078.87	40.8967	55.0003	27.6649	43.6432	0.00144601	12.2588	54.4998	111	0.152477	14.6224	158
DATA	1670958068	164957046	12487	0	2022-12-13	14:01:08	4791.75	596.116	2078.9	40.8958	55.0003	27.6653	43.6432	0.00144571	12.2585	54.4998	139.75	0.152477	14.6224	 34
