Model:	LI-7810
SN:	TG10-01146
Software Version:	2.0.25
Timestamp:	2022-11-11 09:44:13
Timezone:	America/Toronto
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1668177884	127331018	135	256	2022-11-11	09:44:44	nan	nan	nan	97.0202	19.2508	96.5633	43.2111	0	0	19.232	-16000	0	15.8587	 18
DATA	1668177885	127331018	139	256	2022-11-11	09:44:45	nan	nan	nan	97.0211	19.2731	96.5637	43.2115	0	0	19.2526	-16000	0	15.8575	 83
DATA	1668177886	127331018	143	256	2022-11-11	09:44:46	nan	nan	nan	97.0194	19.2975	96.5637	43.2119	0	0	19.276	-16000	0	15.8563	 53
DATA	1668177887	127331018	147	256	2022-11-11	09:44:47	nan	nan	nan	97.0198	19.3209	96.5629	43.2123	0	0	19.2992	-16000	0	15.8548	108
DATA	1668177888	127331018	151	256	2022-11-11	09:44:48	nan	nan	nan	97.0202	19.3446	96.5633	43.2128	0	0	19.3218	-16000	0	15.8516	 81
DATA	1668177889	127026081	155	256	2022-11-11	09:44:49	nan	nan	nan	97.0202	19.368	96.562	43.213	0	0	19.3446	-16000	0	15.8512	188
DATA	1668177890	127026081	159	256	2022-11-11	09:44:50	nan	nan	nan	97.019	19.3908	96.5624	43.2136	0	0	19.3678	-16000	0	15.85	199
DATA	1668177891	127026081	163	256	2022-11-11	09:44:51	nan	nan	nan	97.0198	19.4137	96.5624	43.2138	0	0	19.3906	-16000	0	15.8485	 95
DATA	1668177892	127026081	167	256	2022-11-11	09:44:52	nan	nan	nan	97.0198	19.4365	96.562	43.2145	0	0	19.4137	-16000	0	15.8469	 49
DATA	1668177893	127026081	171	256	2022-11-11	09:44:53	nan	nan	nan	97.0194	19.4582	96.5612	43.2145	0	0	19.4356	-16000	0	15.8457	 92
